Colour difference;pcorr;corr;incorr;ind;background;sex;stimuli;batch
5;0.975;39;1;B1;green;male;green;a
5;1;40;0;B3;green;male;green;a
5;0.9;36;4;B4;green;female;green;a
5;0.95;38;2;B5;green;female;green;a
5;1;40;0;B22;green;male;green;b
5;1;40;0;B32;green;female;green;b
5;0.975;39;1;B42;green;female;green;b
5;1;40;0;B62;green;female;green;b
2.5;0.85;34;6;B1;green;male;green;a
2.5;0.9;36;4;B3;green;male;green;a
2.5;0.925;37;3;B4;green;female;green;a
2.5;1;40;0;B5;green;female;green;a
2.5;0.95;38;2;B22;green;male;green;b
2.5;1;40;0;B32;green;female;green;b
2.5;0.925;37;3;B42;green;female;green;b
2.5;0.975;39;1;B62;green;female;green;b
1.8;0.875;35;5;B1;green;male;green;a
1.8;0.9;36;4;B3;green;male;green;a
1.8;0.95;38;2;B4;green;female;green;a
1.8;1;40;0;B5;green;female;green;a
1.8;0.95;38;2;B22;green;male;green;b
1.8;0.85;34;6;B32;green;female;green;b
1.8;0.975;39;1;B42;green;female;green;b
1.8;0.9;36;4;B62;green;female;green;b
1;0.95;38;2;B1;green;male;green;a
1;0.825;33;7;B3;green;male;green;a
1;0.95;38;2;B4;green;female;green;a
1;0.925;37;3;B5;green;female;green;a
1;0.8;32;8;B22;green;male;green;b
1;0.7;28;12;B32;green;female;green;b
1;0.8;32;8;B42;green;female;green;b
1;0.85;34;6;B62;green;female;green;b
0.6;0.725;29;11;B1;green;male;green;a
0.6;0.5;20;20;B3;green;male;green;a
0.6;0.625;25;15;B4;green;female;green;a
0.6;0.6;24;16;B5;green;female;green;a
0.6;0.625;25;15;B22;green;male;green;b
0.6;0.5;20;20;B32;green;female;green;b
0.6;0.6;24;16;B42;green;female;green;b
0.6;0.575;23;17;B62;green;female;green;b
0.3;0.6;24;16;B1;green;male;green;a
0.3;0.475;19;21;B3;green;male;green;a
0.3;0.475;19;11;B4;green;female;green;a
0.3;0.725;29;11;B5;green;female;green;a
5;0.925;37;3;B1;orange;male;green;c
5;0.925;37;3;B2;orange;female;green;c
5;0.825;33;7;B3;orange;male;green;c
5;0.975;39;1;B6;orange;male;green;c
5;0.9;36;4;B12;orange;female;green;d
5;1;40;0;B22;orange;female;green;d
5;1;40;0;B4;orange;female;green;d
5;1;40;0;B5;orange;male;green;d
2.5;0.9;36;4;B1;orange;male;green;c
2.5;0.95;38;2;B2;orange;female;green;c
2.5;0.875;35;5;B3;orange;male;green;c
2.5;0.975;39;1;B6;orange;male;green;c
2.5;0.875;35;5;B12;orange;female;green;d
2.5;0.875;35;5;B22;orange;female;green;d
2.5;0.925;37;3;B4;orange;female;green;d
2.5;0.925;37;3;B5;orange;male;green;d
1.8;0.775;31;9;B1;orange;male;green;c
1.8;0.925;37;3;B2;orange;female;green;c
1.8;0.875;35;5;B3;orange;male;green;c
1.8;0.85;34;6;B6;orange;male;green;c
1.8;0.85;34;6;B12;orange;female;green;d
1.8;0.95;38;2;B22;orange;female;green;d
1.8;0.75;30;10;B4;orange;female;green;d
1.8;0.825;33;7;B5;orange;male;green;d
0.9;0.6;24;16;B1;orange;male;green;c
0.9;0.775;31;9;B2;orange;female;green;c
0.9;0.725;29;11;B3;orange;male;green;c
0.9;0.9;36;4;B6;orange;male;green;c
0.9;0.775;31;9;B12;orange;female;green;d
0.9;0.475;19;21;B22;orange;female;green;d
0.9;0.525;21;19;B4;orange;female;green;d
0.9;0.55;22;18;B5;orange;male;green;d
0.6;0.6;24;16;B1;orange;male;green;c
0.6;0.575;23;17;B2;orange;female;green;c
0.6;0.525;21;19;B3;orange;male;green;c
0.6;0.775;31;9;B6;orange;male;green;c
0.6;0.5;20;20;B12;orange;female;green;d
0.6;0.5;20;20;B22;orange;female;green;d
0.6;0.425;17;23;B4;orange;female;green;d
0.6;0.425;17;23;B5;orange;male;green;d
0.3;0.6;24;16;B3;orange;male;green;c
0.3;0.6;24;16;B6;orange;male;green;c
